year,month,province_ifls1,district_ifls1,province,district,district_name,precip_cm,lat,lon
1950,1,,,18.0,8.0,tulangbawang,24.66,-4.25,105.75
1950,1,35.0,4.0,35.0,4.0,tulungagung,27.77,-8.25,112.25
1950,1,73.0,71.0,73.0,71.0,ujung pandang,,-5.25,119.25
1950,1,54.0,4.0,54.0,,vikeke,44.56,-8.75,126.75
1950,1,73.0,13.0,73.0,13.0,wajo,2.6799998,-4.25,120.25
1950,1,,,18.0,7.0,way kanan,18.8,-4.75,104.25
1950,1,33.0,12.0,33.0,12.0,wonogiri,35.52,-7.75,111.25
1950,1,33.0,7.0,33.0,7.0,wonosobo,27.939999,-7.25,110.25
1950,1,82.0,8.0,92.0,4.0,yapen waropen,16.189999,-1.75,136.75
1950,1,34.0,71.0,34.0,71.0,yogyakarta,21.73,-7.75,110.25
1950,2,11.0,5.0,,,aceh barat,28.310001,4.75,96.25
1950,2,11.0,6.0,,,aceh besar,,5.75,95.25
1950,2,11.0,1.0,11.0,3.0,aceh selatan,29.14,3.25,97.25
1950,2,,,11.0,2.0,aceh singkil,,2.25,97.75
1950,2,11.0,4.0,11.0,6.0,aceh tengah,26.36,3.75,97.25
1950,2,11.0,2.0,11.0,4.0,aceh tenggara,23.42,3.75,97.75
1950,2,11.0,3.0,11.0,5.0,aceh timur,23.42,4.75,97.75
1950,2,11.0,8.0,,,aceh utara,22.28,5.25,96.75
1950,2,,,92.0,1.0,adm. mimika,,-4.75,136.25
1950,2,,,92.0,3.0,adm. paniai,43.61,-3.25,136.75
1950,2,13.0,6.0,13.0,7.0,agam,21.710001,-0.25,100.25
1950,2,54.0,9.0,54.0,,aileu,17.57,-8.75,125.75
1950,2,54.0,2.0,54.0,,ainaro,17.57,-8.75,125.75
1950,2,53.0,7.0,53.0,,alor,14.0199995,-8.25,124.25
1950,2,54.0,13.0,54.0,,ambeno,14.19,-9.25,124.25
1950,2,81.0,71.0,81.0,71.0,ambon,,-3.75,128.25
1950,2,12.0,6.0,12.0,8.0,asahan,,3.25,99.75
1950,2,,,14.0,72.0,b a t a m,,1.25,104.25
1950,2,51.0,3.0,51.0,3.0,badung,37.120003,-8.25,115.25
1950,2,64.0,71.0,64.0,71.0,balikpapan,16.16,-1.25,116.75
1950,2,11.0,71.0,,,banda aceh,,5.75,95.25
1950,2,18.0,71.0,18.0,71.0,bandar lampung,11.059999,-5.25,105.25
1950,2,32.0,6.0,32.0,6.0,bandung,35.620003,-6.75,107.75
